uf;mes;casos;populacao;incremento;prec;tmax;tmin
51;2012 jul;183;3205589,000000000;92,05833333334886;3,49262785911560;31,8695621490479;14,6655311584473
51;2012 ago;131;3208995,833333333;92,05833333329065;7,63308691978455;33,3709125518799;16,6037845611572
51;2012 set;82;3212402,666666667;92,05833333334886;52,49856185913086;34,0560016632080;19,7110099792480
51;2012 out;196;3215809,500000000;92,05833333334886;115,85058975219727;33,5077857971191;20,6245317459106
51;2012 nov;138;3219216,333333333;92,05833333334886;211,92516326904297;31,5313615798950;20,1596488952637
51;2012 dez;108;3222623,166666667;92,05833333329065;264,37611389160156;31,0025215148926;20,0722780227661
51;2013 jan;84;3226030,000000000;92,05833333334886;306,29911804199219;30,4517555236816;20,2555007934570
51;2013 fev;75;3229648,166666667;92,00833333333139;287,98005676269531;30,9294252395630;20,8964443206787
51;2013 mar;68;3233266,333333333;92,00833333333139;233,85745239257812;30,8425188064575;20,7025318145752
51;2013 abr;114;3236884,500000000;92,00833333333139;100,48469924926758;31,4743394851685;19,9778594970703
51;2013 mai;92;3240502,666666667;92,00833333333139;39,25605201721191;31,4227132797241;18,1206769943237
51;2013 jun;98;3244120,833333333;92,00833333333139;15,00000000000000;32,6721134185791;16,8588695526123
51;2013 jul;148;3247739,000000000;92,00833333333139;4,15134930610657;32,3837642669678;15,4330716133118
51;2013 ago;89;3251357,166666667;92,00833333333139;7,85650444030762;32,4977550506592;15,2501835823059
51;2013 set;150;3254975,333333333;92,00833333336050;45,05719184875488;33,1212425231934;18,9386501312256
51;2013 out;120;3258593,500000000;92,00833333333139;156,83491516113281;32,5889244079590;19,7009353637695
51;2013 nov;117;3262211,666666667;92,00833333333139;212,68213653564453;31,4303197860718;20,1467542648315
51;2013 dez;84;3265829,833333333;92,00833333333139;281,86935424804688;31,1565465927124;20,1979455947876
51;2014 jan;62;3269448,000000000;92,00833333333139;330,00000000000000;30,1154623031616;19,9982595443726
51;2014 fev;40;3273205,666666667;124,37500000000000;290,00000000000000;30,1478958129883;20,2404680252075
51;2014 mar;40;3276963,333333333;124,37500000000000;258,12042236328125;30,4432020187378;20,2577848434448
51;2014 abr;36;3280721,000000000;124,37500000000000;136,38941955566406;31,8465070724487;20,3380060195923
51;2014 mai;50;3284478,666666667;124,37500000000000;65,37910079956055;31,3494024276733;18,0364952087402
51;2014 jun;75;3288236,333333333;124,37500000000000;10,00000000000000;32,3811378479004;16,6060762405396
51;2014 jul;81;3291994,000000000;124,37500000000000;7,58716130256653;31,7288074493408;14,8135323524475
51;2014 ago;124;3295751,666666667;124,37500000000000;11,22157907485962;34,3849029541016;17,5419950485229
51;2014 set;70;3299509,333333333;124,37500000000000;52,10017967224121;35,1901512145996;20,7199573516846
51;2014 out;101;3303267,000000000;124,37500000000000;116,26432418823242;33,6810264587402;20,7247657775879
51;2014 nov;109;3307024,666666667;124,37500000000000;223,36854553222656;32,2044086456299;20,8660936355591
51;2014 dez;73;3310782,333333333;124,37500000000000;251,72071075439453;31,3675680160522;20,4166536331177
51;2015 jan;52;3314540,000000000;124,37500000000000;325,06324768066406;30,8994960784912;20,8608245849609
51;2015 fev;46;3318076,583333333;115,28333333332557;299,99920654296875;30,6759862899780;20,7622947692871
51;2015 mar;41;3321613,166666667;115,28333333332557;291,97480773925781;30,7568187713623;20,6196966171265
51;2015 abr;41;3325149,750000000;115,28333333332557;138,43161010742188;32,0926303863525;20,5776329040527
51;2015 mai;62;3328686,333333333;115,28333333335468;41,98977470397949;31,5801572799683;18,2861061096191
51;2015 jun;78;3332222,916666667;115,28333333332557;7,46753501892090;32,3254833221436;16,5144491195679
51;2015 jul;106;3335759,500000000;115,28333333332557;5,62137150764465;33,1563224792480;16,0570878982544
51;2015 ago;171;3339296,083333333;115,28333333332557;10,34959173202515;34,5925979614258;17,6339044570923
51;2015 set;93;3342832,666666667;115,28333333335468;49,89473152160645;35,3087501525879;20,9270458221436
51;2015 out;75;3346369,250000000;115,28333333332557;136,43014526367188;32,6290302276611;19,7371253967285
51;2015 nov;92;3349905,833333333;115,28333333332557;200,04592132568359;31,5600996017456;20,1607303619385
51;2015 dez;84;3353442,416666667;115,28333333335468;267,16545104980469;31,8416423797607;20,8686866760254
51;2016 jan;53;3356979,000000000;115,28333333332557;327,23480224609375;30,7660465240479;20,6210460662842
51;2016 fev;49;3360463,333333333;134,52499999999418;266,99937438964844;30,9394531250000;20,6736316680908
51;2016 mar;46;3363947,666666667;134,52499999999418;238,08405303955078;31,0800409317017;20,8357763290405
51;2016 abr;49;3367432,000000000;134,52499999999418;130,28323364257812;32,4927806854248;20,7552032470703
