"uf","year_notif","ocup","count"
"Pará",2012,"Doméstica",8056
"Pará",2012,"Turismo",422
"Pará",2012,"Garimpagem",11251
"Pará",2012,"Exploração Vegetal",2475
"Pará",2012,"Caça/Pesca",3582
"Pará",2012,"Consts. Estrada e Barragens",288
"Pará",2012,"Mineração",153
"Pará",2012,"Viajante",985
"Pará",2012,"Outros",56689
"Pará",2012,"Ignorado",737
"Pará",2013,"Agricultura",2179
"Pará",2013,"Pecuária",98
"Pará",2013,"Doméstica",3499
"Pará",2013,"Turismo",116
"Pará",2013,"Garimpagem",9716
"Pará",2013,"Exploração Vegetal",468
"Pará",2013,"Caça/Pesca",808
"Pará",2013,"Consts. Estrada e Barragens",139
"Pará",2013,"Mineração",58
"Pará",2013,"Viajante",324
"Pará",2013,"Outros",13301
"Pará",2014,"Agricultura",852
"Pará",2014,"Pecuária",38
"Pará",2014,"Doméstica",1336
"Pará",2014,"Turismo",32
"Pará",2014,"Garimpagem",4860
"Pará",2014,"Exploração Vegetal",275
"Pará",2014,"Caça/Pesca",221
"Pará",2014,"Consts. Estrada e Barragens",66
"Pará",2014,"Mineração",39
"Pará",2014,"Viajante",147
"Pará",2014,"Outros",5856
"Pará",2015,"Agricultura",1028
"Pará",2015,"Pecuária",34
"Pará",2015,"Doméstica",860
"Pará",2015,"Turismo",33
"Pará",2015,"Garimpagem",2922
"Pará",2015,"Exploração Vegetal",302
"Pará",2015,"Caça/Pesca",204
"Pará",2015,"Consts. Estrada e Barragens",16
"Pará",2015,"Mineração",14
"Pará",2015,"Viajante",99
"Pará",2015,"Outros",5943
"Pará",2016,"Agricultura",2437
"Pará",2016,"Pecuária",62
"Pará",2016,"Doméstica",1253
"Pará",2016,"Turismo",64
"Pará",2016,"Garimpagem",3558
"Pará",2016,"Exploração Vegetal",396
"Pará",2016,"Caça/Pesca",669
"Pará",2016,"Consts. Estrada e Barragens",17
"Pará",2016,"Mineração",18
"Pará",2016,"Viajante",155
"Pará",2016,"Outros",10205
"Pará",2017,"Agricultura",11059
"Pará",2017,"Pecuária",104
"Pará",2017,"Doméstica",3496
"Pará",2017,"Turismo",178
"Pará",2017,"Garimpagem",2605
"Pará",2017,"Exploração Vegetal",1305
"Pará",2017,"Caça/Pesca",2674
"Pará",2017,"Consts. Estrada e Barragens",46
"Pará",2017,"Mineração",14
"Pará",2017,"Viajante",373
"Pará",2017,"Outros",29548
"Pará",2018,"Agricultura",18366
"Pará",2018,"Pecuária",162
"Pará",2018,"Doméstica",3806
"Pará",2018,"Turismo",207
"Pará",2018,"Garimpagem",2861
"Pará",2018,"Exploração Vegetal",1494
"Pará",2018,"Caça/Pesca",3302
"Pará",2018,"Consts. Estrada e Barragens",39
"Pará",2018,"Mineração",17
"Pará",2018,"Viajante",590
"Pará",2018,"Outros",34894
"Pará",2019,"Agricultura",7661
"Pará",2019,"Pecuária",94
"Pará",2019,"Doméstica",2659
"Pará",2019,"Turismo",141
"Pará",2019,"Garimpagem",4750
"Pará",2019,"Exploração Vegetal",1113
"Pará",2019,"Caça/Pesca",1306
"Pará",2019,"Consts. Estrada e Barragens",42
"Pará",2019,"Mineração",20
"Pará",2019,"Viajante",499
"Pará",2019,"Outros",23558
"Amapá",2007,"Agricultura",3147
"Amapá",2007,"Pecuária",118
"Amapá",2007,"Doméstica",1894
"Amapá",2007,"Turismo",64
"Amapá",2007,"Garimpagem",2058
