MUNIAT;IDADE_2;POP_TOTAL;IMIGRANTE;EMIGRANTE;MIGRANTE;SALDO;IEM;TX_IMIG;TX_EMIG;TX_MIG
SALTO DO CÉU;[35,40);297;75,7624866169458;140,408918827556;216,171405444502;-64,6464322106101;-0,299051727390499;0,0472757302449683;0,0255092547531804;0,0727849849981488
SALTO DO CÉU;[40,45);283;68,5760492976831;104,122782075508;172,698831373191;-35,5467327778247;-0,205830766167784;0,0367925025001794;0,0242318195398174;0,0610243220399968
SALTO DO CÉU;[45,50);214;29,5160408667537;81,5685740138126;111,084614880566;-52,0525331470589;-0,468584539839506;0,0381161560812208;0,0137925424610998;0,0519086985423207
SALTO DO CÉU;[50,55);159,587965579446;26,3095751709449;49,6227683564106;75,9323435273555;-23,3131931854657;-0,307025861477156;0,0310943047467495;0,01648593932219;0,0475802440689395
SALTO DO CÉU;[55,60);178,412034420553;39,3708970282461;41,6943902696382;81,0652872978843;-2,3234932413921;-0,0286619997145528;0,0233697185310695;0,0220673998568061;0,0454371183878757
SALTO DO CÉU;[60,139);496,611870530101;45,2548713990606;189,142249546587;234,397120945648;-143,887378147527;-0,613861542185458;0,0380865341266794;0,00911272446040285;0,0471992585870822
SALVATERRA;[0,5);1997,04110434431;346,940038646045;79,5813690546867;426,521407700732;267,358669591358;0,62683528836834;0,0039849639990668;0,0173727039414122;0,021357667940479
SALVATERRA;[5,10);2101,00000000002;336,935295744375;140,183959379073;477,119255123448;196,751336365302;0,412373498349789;0,00667224937549128;0,0160369012729353;0,0227091506484266
SALVATERRA;[10,15);2313,00000000002;427,114410681145;115,666786137717;542,781196818861;311,447624543428;0,573799583273636;0,00500072573012174;0,0184658197441047;0,0234665454742264
SALVATERRA;[15,20);2270,00000000001;357,33186782303;124,078377024808;481,410244847837;233,253490798222;0,484521244187373;0,00546600779844965;0,0157414919745827;0,0212074997730323
SALVATERRA;[20,25);1927,00000000001;336,397607264464;305,262462328291;641,660069592755;31,1351449361728;0,0485228026670468;0,0158413317243534;0,0174570631688875;0,0332983948932408
