MUNIAT;SEXO;POP_TOTAL;IMIGRANTE;EMIGRANTE;MIGRANTE;SALDO;IEM;TX_IMIG;TX_EMIG;TX_MIG
GUARAÍ;Fem;11513;3041,25554613521;3167,06204494508;6208,31759108029;-125,806498809874;-0,0202641854196738;0,027508573307957;0,0264158390179381;0,0539244123258951
GUARAÍ;Masc;11687;2943,8375154144;3244,34870332891;6188,18621874331;-300,511187914517;-0,0485620789827401;0,027760320897826;0,0251889921743339;0,0529493130721599
GUIMARÃES;Fem;5941,00000000023;467,427320701666;1478,72795909638;1946,15527979804;-1011,30063839471;-0,519640261438777;0,0248902198131009;0,00786782226395638;0,0327580420770572
GUIMARÃES;Masc;6140,00000000025;423,020670767891;1317,73982138853;1740,76049215642;-894,719150620639;-0,513981765241167;0,0214615606089328;0,00688958747178948;0,0283511480807223
GUIRATINGA;Fem;6647,00000000007;1101,55190908246;1788,64754421771;2890,19945330017;-687,095635135252;-0,237732947582802;0,0269090949934962;0,0165721665274928;0,0434812615209891
GUIRATINGA;Masc;7287,00000000011;1156,34966755956;2024,89926953721;3181,24893709677;-868,549601977641;-0,273021577107476;0,027787831337137;0,0158686656725614;0,0436564970096984
GURUPI;Fem;38647,9999999999;8563,34741300778;9795,86358664373;18359,2109996515;-1232,51617363595;-0,0671333955287809;0,0253463661422163;0,0221572847573168;0,0475036508995331
GURUPI;Masc;38107;8107,54139015526;8664,18564751689;16771,7270376721;-556,644257361632;-0,0331894417379507;0,0227364674404096;0,0212757272683635;0,0440121947087731
GURUPÁ;Fem;13662;744,188463221551;1805,8163256674;2550,00478888895;-1061,62786244585;-0,416323870085124;0,013217803584156;0,00544714143772179;0,0186649450218778
GURUPÁ;Masc;15400;618,288476273447;1532,51069053132;2150,79916680476;-914,22221425787;-0,42506163679431;0,00995136812033321;0,00401486023554185;0,0139662283558751
HUMAITÁ;Fem;21023;2336,46529941963;3343,16572415538;5679,63102357501;-1006,70042473575;-0,177247504381383;0,0159024198456708;0,0111138529202285;0,0270162727658993
HUMAITÁ;Masc;23204;2706,7268286199;3226,393368937;5933,1201975569;-519,666540317096;-0,0875873946614263;0,0139044706470307;0,0116649147932249;0,0255693854402556
HUMBERTO DE CAMPOS;Fem;12505;1225,84360316815;1626,86934935399;2852,71295252214;-401,025746185835;-0,140576971065834;0,0130097508944741;0,00980282769426753;0,0228125785887417
HUMBERTO DE CAMPOS;Masc;13684;1128,95871047681;1599,18122179699;2728,1399322738;-470,222511320185;-0,172360114581173;0,0116865041055027;0,00825020981055835;0,0199367139160611
ICATU;Fem;12053,0000000002;1156,03293489026;2236,06717195484;3392,10010684509;-1080,03423706458;-0,318396923158349;0,0185519552970614;0,00959124645225454;0,0281432017493159
ICATU;Masc;13092,0000000002;919,644027221871;1924,12705311807;2843,77108033994;-1004,4830258962;-0,353222181926164;0,014696968019539;0,00702447316851406;0,0217214411880531
IGARAPÉ DO MEIO;Fem;6201,99999999999;1275,584442625;529,003735335104;1804,58817796011;746,5807072899;0,413712511479394;0,00852956683868276;0,0205673080074977;0,0290968748461804
IGARAPÉ DO MEIO;Masc;6348;1150,54511534856;558,080885858005;1708,62600120656;592,464229490551;0,346748925201992;0,00879144432668564;0,0181245292272929;0,0269159735539786
IGARAPÉ GRANDE;Fem;5615,00000000002;678,805846445211;1125,21719154036;1804,02303798557;-446,411345095151;-0,247453239618064;0,0200394869374952;0,0120891513169227;0,0321286382544179
IGARAPÉ GRANDE;Masc;5426,00000000002;681,836621547421;840,858533273019;1522,69515482044;-159,021911725598;-0,104434503007498;0,0154968399055108;0,0125661006551312;0,028062940560642
IGARAPÉ-AÇU;Fem;17770,0000000006;2127,13864824038;2477,76511797142;4604,9037662118;-350,626469731033;-0,0761419754965856;0,0139435290825624;0,0119703919428267;0,0259139210253891
