MUNIAT;IMIGRANTE;EMIGRANTE;POP_TOTAL;MIGRANTE;SALDO;IEM;TX_IMIG;TX_EMIG;TX_MIG
BOM JESUS DO TOCANTINS;5626,97585125426;3562,68576660789;19066,0000000016;9189,66161786215;2064,29008464636;0,224631784116398;0,0186860682188586;0,0295131430360525;0,0481992112549111
BOM LUGAR;1002,95890364215;887,812942241945;14818;1890,7718458841;115,145961400207;0,0608989189525223;0,00599144919855545;0,00676851736835034;0,0127599665669058
BONFIM;2121,31221456772;1123,06669864992;10943;3244,37891321764;998,245515917797;0,307684627048626;0,0102628776263357;0,0193851065938747;0,0296479842202105
BONITO;2096,140507572;1969,34650375573;13630,000000001;4065,48701132773;126,794003816275;0,0311879003580597;0,0144486170488304;0,0153788738633298;0,0298274909121602
BORBA;2231,64794961224;4330,20409088625;34960,999999998;6561,85204049849;-2098,55614127401;-0,319811560565847;0,0123858130227582;0,00638324976291402;0,0187690627856722
BRAGANÇA;10427,8567415161;23522,5468944224;113227,000000001;33950,4036359385;-13094,6901529063;-0,385700573499068;0,0207746799742306;0,00920969092311548;0,0299843708973461
BRASIL NOVO;3026,26000392389;1640,23127291935;15690;4666,49127684324;1386,02873100454;0,297017319604238;0,0104539915418696;0,0192878266661815;0,0297418182080512
BRASILÂNDIA DO TOCANTINS;514,568851580822;470,881042345645;2064,00000000001;985,449893926467;43,6878092351771;0,0443328570071743;0,0228140039896145;0,0249306614137994;0,0477446654034139
BRASILÉIA;2678,85277229237;3430,22919526053;21398,0000000001;6109,0819675529;-751,376422968162;-0,122993344492502;0,0160306065765983;0,0125191736250694;0,0285497802016677
BRASNORTE;6327,05271796702;2626,04868369299;15357;8953,10140166001;3701,00403427403;0,413376758313921;0,0171000109636842;0,0411997963011462;0,0582998072648304
BREJINHO DE NAZARÉ;835,361944487964;1487,07412682309;5184,99999999988;2322,43607131106;-651,712182335128;-0,28061576823823;0,0286803110284113;0,0161111271839534;0,0447914382123647
BREJO;2357,84856711513;3760,70867388724;33359;6118,55724100237;-1402,86010677211;-0,229279559137096;0,0112734454686509;0,00706810326183378;0,0183415487304846
BREJO DE AREIA;299,558008437754;1452,97354735737;5577,00000000002;1752,53155579513;-1153,41553891962;-0,658142522515842;0,0260529594290365;0,00537131089183706;0,0314242703208736
BREJO GRANDE DO ARAGUAIA;1617,54972921024;1960,25245414397;7317,00000000027;3577,80218335421;-342,702724933735;-0,0957858225164504;0,0267903847771478;0,0221067340332128;0,0488971188103606
BREU BRANCO;16757,7759541045;6612,56828348609;52493,0000000001;23370,3442375906;10145,2076706184;0,434106043431749;0,0125970477653898;0,0319238297565475;0,0445208775219374
BREVES;5288,03233178841;19942,5944383514;92859,9999999988;25230,6267701398;-14654,562106563;-0,580824338613201;0,0214759793650136;0,00569462883026974;0,0271706081952834
BUJARI;2633,41928712982;538,871933996161;8471,0000000001;3172,29122112598;2094,54735313366;0,660263263090397;0,00636137332069596;0,0310874664989941;0,03744883981969
BUJARU;1695,26286496088;2796,61816136696;25694,9999999993;4491,88102632785;-1101,35529640608;-0,245187993615773;0,0108839002193697;0,00659763714715285;0,0174815373665225
BURITI;2186,23591859883;5461,67530211903;27013,0000000029;7647,91122071786;-3275,4393835202;-0,428278949505478;0,020218692119048;0,00809327330766147;0,0283119654267095
BURITI BRAVO;2602,10643174927;5595,86638690203;22899,0000000002;8197,9728186513;-2993,75995515276;-0,365182956979514;0,0244371648845015;0,0113634064009313;0,0358005712854327
BURITI DO TOCANTINS;1432,71912453298;2580,94159665126;9768,00000000005;4013,66072118424;-1148,22247211829;-0,286078608004391;0,0264224160181332;0,014667476704883;0,0410898927230162
