UF;IDADE_2;POP_TOTAL;IMIGRANTE;EMIGRANTE;MIGRANTE;SALDO;IEM;TX_IMIG;TX_EMIG;TX_MIG
OUTRAS UFS;[5,10);12400153,915833;864209,143597613;858790,122334127;1722999,26593174;5419,02126348531;0,00314510944411511;0,00692564082803516;0,0069693420699735;0,0138949828980087
OUTRAS UFS;[10,15);14403579,2392206;808514,194544096;799301,622161917;1607815,81670601;9212,57238217886;0,00572986799013644;0,00554932637844236;0,00561328667767891;0,0111626130561213
OUTRAS UFS;[15,20);14375699,4243086;861612,63857728;829457,663540543;1691070,30211782;32154,9750367367;0,0190145702378353;0,00576985953210716;0,00599353543188539;0,0117633949639926
OUTRAS UFS;[20,25);14745121,4365328;1264714,77985531;1212017,85020183;2476732,63005713;52696,9296534821;0,0212767938751089;0,00821978886656645;0,0085771743915369;0,0167969632581034
OUTRAS UFS;[25,30);14747256,5303577;1376048,74709699;1350327,47317641;2726376,2202734;25721,2739205782;0,00943423498536781;0,00915646561376838;0,00933087957251136;0,0184873451862797
OUTRAS UFS;[30,35);13676645,181372;1138498,4274895;1139345,36742648;2277843,79491597;-846,939936980372;-0,000371816512998257;0,00833059096230923;0,00832439836225455;0,0166549893245638
OUTRAS UFS;[35,40);12165944,8681306;844157,232123339;853251,976375591;1697409,20849893;-9094,74425225146;-0,00535801514844745;0,00701344602186006;0,00693869026428569;0,0139521362861458
OUTRAS UFS;[40,45);11519631,6409948;642659,455004859;655516,953283257;1298176,40828812;-12857,4982783977;-0,00990427664245777;0,00569043328564846;0,00557881948861833;0,0112692527742668
OUTRAS UFS;[45,50);10589416,1970819;482294,768423783;493037,32683629;975332,095260073;-10742,5584125075;-0,0110142570563547;0,00465594436615074;0,00455449818429732;0,00921044255044805
OUTRAS UFS;[50,55);9113724,54822448;344400,384475407;354568,119350703;698968,50382611;-10167,7348752954;-0,0145467711629892;0,00389048536056292;0,00377892027187175;0,00766940563243467
OUTRAS UFS;[55,60);7472448,49994115;253498,498677131;259988,657354189;513487,15603132;-6490,1586770583;-0,0126393788059276;0,00347929674398206;0,00339244223200905;0,00687173897599112
OUTRAS UFS;[60,139);18699548,7796861;521564,930757814;532111,86047101;1053676,79122882;-10546,9297131959;-0,0100096441347026;0,00284558663281255;0,00278918457820975;0,00563477121102229
OUTRAS UFS;NA;11,1766356598913;;;;;;;;
PARÁ;[0,5);737416,323268654;26881,6427618116;26573,3289381222;53454,9716999338;308,313823689448;0,00576772962148683;0,00360357210704719;0,00364538211503872;0,00724895422208591
PARÁ;[5,10);781330,705765264;46355,396815244;49659,1770432519;96014,5738584958;-3303,78022800791;-0,0344091536861575;0,0063557180943777;0,00593287790601315;0,0122885960003908
PARÁ;[10,15);836356,338539512;43533,9126105673;46629,7110710335;90163,6236816008;-3095,79846046624;-0,0343353376235031;0,0055753401896207;0,00520518714386603;0,0107805273334867
