uf_code;ano;age_group;sexo;pop;pop_percent;cases
AC;2019;15-19;Men;42000;0,04866743916570104;990
AC;2019;15-19;Women;41000;0,04750869061413673;735
AC;2019;20-24;Men;40000;0,04634994206257242;808
AC;2019;20-24;Women;41000;0,04750869061413673;544
AC;2019;25-29;Men;29000;0,03360370799536501;582
AC;2019;25-29;Women;31000;0,03592120509849363;412
AC;2019;30-34;Men;31000;0,03592120509849363;533
AC;2019;30-34;Women;37000;0,04287369640787949;345
AC;2019;35-39;Men;29000;0,03360370799536501;537
AC;2019;35-39;Women;35000;0,04055619930475087;377
AC;2019;40-44;Men;30000;0,03476245654692932;416
AC;2019;40-44;Women;31000;0,03592120509849363;285
AC;2019;45-49;Men;25000;0,02896871378910777;307
AC;2019;45-49;Women;28000;0,03244495944380069;244
AC;2019;50-54;Men;19000;0,02201622247972190;227
AC;2019;50-54;Women;21000;0,02433371958285052;167
AC;2019;55-59;Men;17000;0,01969872537659328;172
AC;2019;55-59;Women;19000;0,02201622247972190;151
AC;2019;60-64;Men;13000;0,01506373117033604;129
AC;2019;60-64;Women;14000;0,01622247972190035;74
AC;2019;65-69;Men;12000;0,01390498261877173;76
AC;2019;65-69;Women;11000;0,01274623406720742;47
AC;2019;70+;Men;18000;0,02085747392815759;85
AC;2019;70+;Women;20000;0,02317497103128621;59
AM;2019;0-4;Men;167000;0,04190715181932246;4616
AM;2019;0-4;Women;159000;0,03989962358845672;4079
AM;2019;5-9;Men;178000;0,04466750313676286;4362
AM;2019;5-9;Women;173000;0,04341279799247177;3875
AM;2019;10-14;Men;190000;0,04767879548306148;4098
AM;2019;10-14;Women;196000;0,04918444165621079;3554
AM;2019;15-19;Men;210000;0,05269761606022585;4143
AM;2019;15-19;Women;190000;0,04767879548306148;2798
AM;2019;20-24;Men;200000;0,05018820577164367;3756
AM;2019;20-24;Women;178000;0,04466750313676286;2234
AM;2019;25-29;Men;142000;0,03563362609786700;2960
AM;2019;25-29;Women;154000;0,03864491844416562;1760
AM;2019;30-34;Men;156000;0,03914680050188206;2635
AM;2019;30-34;Women;162000;0,04065244667503137;1703
AM;2019;35-39;Men;151000;0,03789209535759096;2508
AM;2019;35-39;Women;172000;0,04316185696361355;1414
AM;2019;40-44;Men;145000;0,03638644918444166;2012
AM;2019;40-44;Women;138000;0,03462986198243413;1162
AM;2019;45-49;Men;107000;0,02685069008782936;1563
AM;2019;45-49;Women;115000;0,02885821831869511;963
AM;2019;50-54;Men;86000;0,02158092848180677;1309
AM;2019;50-54;Women;91000;0,02283563362609787;750
AM;2019;55-59;Men;71000;0,01781681304893350;1000
AM;2019;55-59;Women;85000;0,02132998745294856;588
AM;2019;60-64;Men;68000;0,01706398996235885;700
AM;2019;60-64;Women;68000;0,01706398996235885;439
AM;2019;65-69;Men;43000;0,01079046424090339;440
AM;2019;65-69;Women;46000;0,01154328732747804;313
AM;2019;70+;Men;70000;0,01756587202007528;494
AM;2019;70+;Women;74000;0,01856963613550816;416
RR;2019;0-4;Men;25000;0,04638218923933209;1457
RR;2019;0-4;Women;27000;0,05009276437847866;1224
RR;2019;5-9;Men;27000;0,05009276437847866;1271
RR;2019;5-9;Women;26000;0,04823747680890538;1143
RR;2019;10-14;Men;27000;0,05009276437847866;1310
RR;2019;10-14;Women;24000;0,04452690166975881;1073
RR;2019;15-19;Men;23000;0,04267161410018553;1488
RR;2019;15-19;Women;26000;0,04823747680890538;922
RR;2019;20-24;Men;27000;0,05009276437847866;1651
RR;2019;20-24;Women;25000;0,04638218923933209;836
RR;2019;25-29;Men;21000;0,03896103896103896;1409
RR;2019;25-29;Women;24000;0,04452690166975881;624
RR;2019;30-34;Men;23000;0,04267161410018553;1198
RR;2019;30-34;Women;23000;0,04267161410018553;593
RR;2019;35-39;Men;18000;0,03339517625231911;1193
RR;2019;35-39;Women;20000;0,03710575139146568;506
RR;2019;40-44;Men;18000;0,03339517625231911;918
RR;2019;40-44;Women;19000;0,03525046382189239;399
RR;2019;45-49;Men;13000;0,02411873840445269;686
RR;2019;45-49;Women;14000;0,02597402597402598;323
RR;2019;50-54;Men;14000;0,02597402597402598;568
RR;2019;50-54;Women;12000;0,02226345083487941;202
RR;2019;55-59;Men;11000;0,02040816326530612;404
RR;2019;55-59;Women;9000;0,01669758812615955;162
RR;2019;60-64;Men;8000;0,01484230055658627;201
RR;2019;60-64;Women;7000;0,01298701298701299;98
RR;2019;65-69;Men;7000;0,01298701298701299;134
RR;2019;65-69;Women;6000;0,01113172541743970;54
RR;2019;70+;Men;8000;0,01484230055658627;132
RR;2019;70+;Women;7000;0,01298701298701299;62
PA;2019;0-4;Men;330000;0,03854239663629993;2148
PA;2019;0-4;Women;320000;0,03737444522307872;1820
PA;2019;5-9;Men;342000;0,03994393833216538;1955
PA;2019;5-9;Women;341000;0,03982714319084326;1678
PA;2019;10-14;Men;374000;0,04368138285447325;1973
PA;2019;10-14;Women;369000;0,04309740714786265;1520
PA;2019;15-19;Men;409000;0,04776921280074749;2204
PA;2019;15-19;Women;385000;0,04496612940901659;1434
PA;2019;20-24;Men;384000;0,04484933426769446;2276
PA;2019;20-24;Women;360000;0,04204625087596356;1171
PA;2019;25-29;Men;343000;0,04006073347348750;1824
PA;2019;25-29;Women;339000;0,03959355290819902;937
PA;2019;30-34;Men;336000;0,03924316748423266;1709
PA;2019;30-34;Women;358000;0,04181266059331932;892
PA;2019;35-39;Men;313000;0,03655687923382387;1442
PA;2019;35-39;Women;363000;0,04239663629992992;689
PA;2019;40-44;Men;288000;0,03363700070077085;1217
PA;2019;40-44;Women;314000;0,03667367437514599;568
PA;2019;45-49;Men;227000;0,02651249708012147;1026
PA;2019;45-49;Women;259000;0,03024994160242934;465
PA;2019;50-54;Men;239000;0,02791403877598692;760
PA;2019;50-54;Women;244000;0,02849801448259752;343
PA;2019;55-59;Men;174000;0,02032235459004906;509
PA;2019;55-59;Women;186000;0,02172389628591451;232
PA;2019;60-64;Men;148000;0,01728568091567391;321
PA;2019;60-64;Women;171000;0,01997196916608269;170
PA;2019;65-69;Men;120000;0,01401541695865452;182
PA;2019;65-69;Women;109000;0,01273067040411119;98
PA;2019;70+;Men;183000;0,02137351086194814;209
PA;2019;70+;Women;234000;0,02733006306937632;162
AP;2019;0-4;Men;41000;0,04898446833930705;465
