"uf" "year_notif" "cruzes" "count" "perc"
"Amapá" 2008 "três cruzes" 539 3.86296853723214
"Amapá" 2008 "quatro cruzes" 8 0.0573353400702358
"Amapá" 2009 "menor que meia cruz" 3149 21.7727995574915
"Amapá" 2009 "meia cruz" 821 5.67655396529074
"Amapá" 2009 "uma cruz" 1895 13.1023992256102
"Amapá" 2009 "duas cruzes)" 8124 56.1709188964945
"Amapá" 2009 "três cruzes" 449 3.10447348406278
"Amapá" 2009 "quatro cruzes" 25 0.172854871050266
"Amapá" 2010 "menor que meia cruz" 2864 20.0841514726508
"Amapá" 2010 "meia cruz" 754 5.2875175315568
"Amapá" 2010 "uma cruz" 1690 11.851332398317
"Amapá" 2010 "duas cruzes)" 8301 58.2117812061711
"Amapá" 2010 "três cruzes" 621 4.35483870967742
"Amapá" 2010 "quatro cruzes" 30 0.210378681626928
"Amapá" 2011 "menor que meia cruz" 4378 22.5914649878735
"Amapá" 2011 "meia cruz" 968 4.99509778626348
"Amapá" 2011 "uma cruz" 2260 11.6621084679292
"Amapá" 2011 "duas cruzes)" 10788 55.6685071469116
"Amapá" 2011 "três cruzes" 904 4.66484338717168
"Amapá" 2011 "quatro cruzes" 81 0.41797822385056
"Amapá" 2012 "menor que meia cruz" 3073 20.647718873883
"Amapá" 2012 "meia cruz" 622 4.1792649331452
"Amapá" 2012 "uma cruz" 1216 8.17039575354431
"Amapá" 2012 "duas cruzes)" 9359 62.8838271853793
"Amapá" 2012 "três cruzes" 585 3.93065914130216
"Amapá" 2012 "quatro cruzes" 28 0.188134112746086
"Amapá" 2013 "menor que meia cruz" 3625 23.1733043533849
"Amapá" 2013 "meia cruz" 562 3.59266125423512
"Amapá" 2013 "uma cruz" 1303 8.32960429585118
"Amapá" 2013 "duas cruzes)" 9454 60.4359777536278
"Amapá" 2013 "três cruzes" 653 4.17439110145113
"Amapá" 2013 "quatro cruzes" 46 0.29406124144985
"Amapá" 2014 "menor que meia cruz" 3454 23.1361779087682
"Amapá" 2014 "meia cruz" 544 3.64391452876951
"Amapá" 2014 "uma cruz" 1074 7.19405184540157
"Amapá" 2014 "duas cruzes)" 9367 62.74365329225
"Amapá" 2014 "três cruzes" 473 3.16833009578672
"Amapá" 2014 "quatro cruzes" 17 0.113872329024047
"Amapá" 2015 "menor que meia cruz" 3049 19.6190721317805
"Amapá" 2015 "meia cruz" 573 3.68702142719259
"Amapá" 2015 "uma cruz" 1178 7.57994981017952
"Amapá" 2015 "duas cruzes)" 10199 65.6264075670806
"Amapá" 2015 "três cruzes" 528 3.39746477060678
"Amapá" 2015 "quatro cruzes" 14 0.0900842931600283
"Amapá" 2016 "menor que meia cruz" 2376 17.4180778535298
"Amapá" 2016 "meia cruz" 413 3.02763726999487
"Amapá" 2016 "uma cruz" 1011 7.4114800967671
"Amapá" 2016 "duas cruzes)" 9421 69.0638516237812
"Amapá" 2016 "três cruzes" 405 2.96899054321531
"Amapá" 2016 "quatro cruzes" 15 0.109962612711678
"Amapá" 2017 "menor que meia cruz" 2940 17.5763735278293
"Amapá" 2017 "meia cruz" 535 3.1984217133975
"Amapá" 2017 "uma cruz" 1461 8.73438153882944
"Amapá" 2017 "duas cruzes)" 11468 68.5598134752197
"Amapá" 2017 "três cruzes" 309 1.84731272792491
"Amapá" 2017 "quatro cruzes" 14 0.083697016799187
"Amapá" 2018 "menor que meia cruz" 3060 18.5657080451402
"Amapá" 2018 "meia cruz" 543 3.29450309428467
"Amapá" 2018 "uma cruz" 1388 8.42130809367795
"Amapá" 2018 "duas cruzes)" 11134 67.5524814949642
"Amapá" 2018 "três cruzes" 350 2.12352869797355
"Amapá" 2018 "quatro cruzes" 7 0.0424705739594709
"Amapá" 2019 "menor que meia cruz" 1943 16.4758755193759
"Amapá" 2019 "meia cruz" 422 3.57839396252014
