"MUN_INFE" "year_notif" "municipio" "uf" "count_falciparum" "perc_falciparum" "count" "pro_tratamento"
110045 2012 "Buritis" "Rondônia" 8 0.0380952380952381 119 0.566666666666667
110045 2013 "Buritis" "Rondônia" 3 0.0138248847926267 119 0.548387096774194
110045 2014 "Buritis" "Rondônia" 1 0.0144927536231884 40 0.579710144927536
110045 2015 "Buritis" "Rondônia" 1 0.00657894736842105 80 0.526315789473684
110050 2007 "Novo Horizonte do Oeste" "Rondônia" 2 0.181818181818182 7 0.636363636363636
110060 2007 "Cacaulândia" "Rondônia" 31 0.25 100 0.806451612903226
110060 2008 "Cacaulândia" "Rondônia" 6 0.0674157303370786 58 0.651685393258427
110060 2009 "Cacaulândia" "Rondônia" 13 0.123809523809524 66 0.628571428571429
110060 2011 "Cacaulândia" "Rondônia" 1 0.032258064516129 16 0.516129032258065
110060 2012 "Cacaulândia" "Rondônia" 2 0.166666666666667 5 0.416666666666667
110060 2019 "Cacaulândia" "Rondônia" 1 0.2 1 0.2
110070 2007 "Campo Novo de Rondônia" "Rondônia" 1003 0.249688822504356 3474 0.864824495892457
110070 2008 "Campo Novo de Rondônia" "Rondônia" 409 0.182997762863535 1654 0.740044742729307
110070 2009 "Campo Novo de Rondônia" "Rondônia" 127 0.118029739776952 735 0.683085501858736
110070 2010 "Campo Novo de Rondônia" "Rondônia" 87 0.159633027522936 322 0.590825688073395
110070 2011 "Campo Novo de Rondônia" "Rondônia" 8 0.0168067226890756 290 0.609243697478992
110070 2012 "Campo Novo de Rondônia" "Rondônia" 2 0.0051413881748072 219 0.562982005141388
110070 2013 "Campo Novo de Rondônia" "Rondônia" 1 0.0075187969924812 72 0.541353383458647
110070 2014 "Campo Novo de Rondônia" "Rondônia" 3 0.06 23 0.46
110070 2015 "Campo Novo de Rondônia" "Rondônia" 1 0.0625 6 0.375
110070 2019 "Campo Novo de Rondônia" "Rondônia" 1 0.0666666666666667 5 0.333333333333333
110080 2007 "Candeias do Jamari" "Rondônia" 1904 0.198996655518395 6101 0.637646321070234
110080 2008 "Candeias do Jamari" "Rondônia" 324 0.0586001085187195 3525 0.637547476939772
110080 2009 "Candeias do Jamari" "Rondônia" 236 0.0520971302428256 3009 0.664238410596027
110080 2010 "Candeias do Jamari" "Rondônia" 245 0.0495449949443883 3131 0.633164812942366
110080 2011 "Candeias do Jamari" "Rondônia" 229 0.0414104882459313 3537 0.639602169981917
110080 2012 "Candeias do Jamari" "Rondônia" 124 0.0338612779901693 2268 0.619333697433097
110080 2013 "Candeias do Jamari" "Rondônia" 31 0.0145813734713076 1188 0.558795860771402
110080 2014 "Candeias do Jamari" "Rondônia" 111 0.0622895622895623 1080 0.606060606060606
110080 2015 "Candeias do Jamari" "Rondônia" 71 0.0509325681492109 742 0.532281205164993
110080 2016 "Candeias do Jamari" "Rondônia" 23 0.0183266932270916 693 0.552191235059761
110080 2017 "Candeias do Jamari" "Rondônia" 372 0.188736681887367 1008 0.511415525114155
110080 2018 "Candeias do Jamari" "Rondônia" 195 0.0925047438330171 1040 0.493358633776091
110080 2019 "Candeias do Jamari" "Rondônia" 122 0.054030115146147 1196 0.529672276350753
110090 2007 "Castanheiras" "Rondônia" 3 0.0428571428571429 41 0.585714285714286
110090 2008 "Castanheiras" "Rondônia" 1 0.0357142857142857 22 0.785714285714286
110090 2009 "Castanheiras" "Rondônia" 4 0.444444444444444 3 0.333333333333333
110090 2010 "Castanheiras" "Rondônia" 15 0.625 11 0.458333333333333
110092 2007 "Chupinguaia" "Rondônia" 49 0.742424242424242 16 0.242424242424242
110092 2008 "Chupinguaia" "Rondônia" 11 0.523809523809524 6 0.285714285714286
110092 2013 "Chupinguaia" "Rondônia" 1 0.25 1 0.25
110092 2018 "Chupinguaia" "Rondônia" 1 0.333333333333333 1 0.333333333333333
110094 2007 "Cujubim" "Rondônia" 832 0.209519012843113 3430 0.863762276504659
110094 2008 "Cujubim" "Rondônia" 350 0.145651269246775 1918 0.798168955472326
110094 2009 "Cujubim" "Rondônia" 534 0.19017094017094 2255 0.803062678062678
110094 2010 "Cujubim" "Rondônia" 521 0.236818181818182 1792 0.814545454545455
110094 2011 "Cujubim" "Rondônia" 240 0.13986013986014 1323 0.770979020979021
110094 2012 "Cujubim" "Rondônia" 31 0.0466165413533835 552 0.830075187969925
110094 2013 "Cujubim" "Rondônia" 24 0.0372093023255814 428 0.663565891472868
110094 2014 "Cujubim" "Rondônia" 8 0.0207253886010363 267 0.691709844559586
110094 2017 "Cujubim" "Rondônia" 18 0.041958041958042 252 0.587412587412587
110094 2018 "Cujubim" "Rondônia" 24 0.0607594936708861 184 0.465822784810127
110094 2019 "Cujubim" "Rondônia" 30 0.10989010989011 152 0.556776556776557
110100 2007 "Governador Jorge Teixeira" "Rondônia" 7 0.0686274509803922 88 0.862745098039216
110100 2008 "Governador Jorge Teixeira" "Rondônia" 63 0.201277955271566 263 0.840255591054313
110100 2009 "Governador Jorge Teixeira" "Rondônia" 48 0.229665071770335 142 0.679425837320574
110100 2010 "Governador Jorge Teixeira" "Rondônia" 1 0.0526315789473684 8 0.421052631578947
110100 2013 "Governador Jorge Teixeira" "Rondônia" 1 0.0666666666666667 8 0.533333333333333
110100 2014 "Governador Jorge Teixeira" "Rondônia" 1 0.333333333333333 2 0.666666666666667
110110 2007 "ItapuaÞ do Oeste" "Rondônia" 441 0.122909698996656 577 0.160813823857302
110110 2008 "ItapuaÞ do Oeste" "Rondônia" 109 0.076437587657784 339 0.237727910238429
110110 2009 "ItapuaÞ do Oeste" "Rondônia" 78 0.0955882352941176 702 0.860294117647059
110110 2010 "ItapuaÞ do Oeste" "Rondônia" 142 0.15553121577218 800 0.876232201533406
110110 2011 "ItapuaÞ do Oeste" "Rondônia" 38 0.0824295010845987 305 0.661605206073753
110110 2012 "ItapuaÞ do Oeste" "Rondônia" 7 0.0201149425287356 220 0.632183908045977
110110 2013 "ItapuaÞ do Oeste" "Rondônia" 1 0.00546448087431694 119 0.650273224043716
110110 2014 "ItapuaÞ do Oeste" "Rondônia" 2 0.0192307692307692 71 0.682692307692308
110110 2015 "ItapuaÞ do Oeste" "Rondônia" 1 0.0172413793103448 38 0.655172413793103
110110 2017 "ItapuaÞ do Oeste" "Rondônia" 9 0.0171428571428571 315 0.6
110110 2018 "ItapuaÞ do Oeste" "Rondônia" 20 0.032520325203252 346 0.56260162601626
110110 2019 "ItapuaÞ do Oeste" "Rondônia" 54 0.15041782729805 161 0.448467966573816
110120 2007 "Ministro Andreazza" "Rondônia" 3 0.3 4 0.4
110130 2007 "Mirante da Serra" "Rondônia" 10 0.0371747211895911 228 0.847583643122677
110130 2009 "Mirante da Serra" "Rondônia" 1 0.1 5 0.5
110130 2010 "Mirante da Serra" "Rondônia" 1 0.04 16 0.64
110130 2013 "Mirante da Serra" "Rondônia" 1 0.333333333333333 1 0.333333333333333
110140 2007 "Monte Negro" "Rondônia" 233 0.223823246878002 863 0.829010566762728
110140 2008 "Monte Negro" "Rondônia" 72 0.161797752808989 365 0.820224719101124
110140 2009 "Monte Negro" "Rondônia" 149 0.313684210526316 357 0.751578947368421
110140 2010 "Monte Negro" "Rondônia" 36 0.169811320754717 141 0.665094339622642
110140 2011 "Monte Negro" "Rondônia" 11 0.0647058823529412 94 0.552941176470588
110140 2012 "Monte Negro" "Rondônia" 2 0.0125786163522013 90 0.566037735849057
110140 2013 "Monte Negro" "Rondônia" 1 0.0099009900990099 44 0.435643564356436
110140 2014 "Monte Negro" "Rondônia" 1 0.0204081632653061 27 0.551020408163265
110140 2019 "Monte Negro" "Rondônia" 1 0.111111111111111 3 0.333333333333333
110143 2007 "Nova UniaÞo" "Rondônia" 14 0.4375 26 0.8125
110143 2008 "Nova UniaÞo" "Rondônia" 2 0.1 13 0.65
110143 2009 "Nova UniaÞo" "Rondônia" 1 0.0833333333333333 3 0.25
110143 2010 "Nova UniaÞo" "Rondônia" 2 0.0952380952380952 8 0.380952380952381
110145 2007 "Parecis" "Rondônia" 1 0.333333333333333 1 0.333333333333333
110145 2009 "Parecis" "Rondônia" 1 0.333333333333333 1 0.333333333333333
110145 2010 "Parecis" "Rondônia" 1 0.5 1 0.5
110146 2007 "Pimenteiras do Oeste" "Rondônia" 10 0.188679245283019 33 0.622641509433962
110146 2008 "Pimenteiras do Oeste" "Rondônia" 2 0.0571428571428571 20 0.571428571428571
110146 2009 "Pimenteiras do Oeste" "Rondônia" 1 0.0666666666666667 7 0.466666666666667
110146 2010 "Pimenteiras do Oeste" "Rondônia" 10 0.147058823529412 44 0.647058823529412
110146 2011 "Pimenteiras do Oeste" "Rondônia" 26 0.440677966101695 49 0.830508474576271
110146 2012 "Pimenteiras do Oeste" "Rondônia" 1 0.05 9 0.45
110147 2007 "Primavera de Rondônia" "Rondônia" 3 0.5 3 0.5
110147 2010 "Primavera de Rondônia" "Rondônia" 1 0.333333333333333 1 0.333333333333333
110149 2007 "SaÞo Francisco do Guaporé" "Rondônia" 94 0.230392156862745 299 0.732843137254902
110149 2008 "SaÞo Francisco do Guaporé" "Rondônia" 12 0.0552995391705069 132 0.608294930875576
110149 2009 "SaÞo Francisco do Guaporé" "Rondônia" 7 0.0693069306930693 73 0.722772277227723
110149 2010 "SaÞo Francisco do Guaporé" "Rondônia" 2 0.0571428571428571 18 0.514285714285714
110149 2011 "SaÞo Francisco do Guaporé" "Rondônia" 2 0.105263157894737 11 0.578947368421053
110149 2014 "SaÞo Francisco do Guaporé" "Rondônia" 1 0.037037037037037 15 0.555555555555556
110149 2015 "SaÞo Francisco do Guaporé" "Rondônia" 1 0.0454545454545455 11 0.5
110150 2007 "Seringueiras" "Rondônia" 4 0.0851063829787234 10 0.212765957446809
110150 2008 "Seringueiras" "Rondônia" 8 0.0851063829787234 6 0.0638297872340425
110150 2009 "Seringueiras" "Rondônia" 3 0.0882352941176471 5 0.147058823529412
110150 2010 "Seringueiras" "Rondônia" 2 0.142857142857143 4 0.285714285714286
110150 2011 "Seringueiras" "Rondônia" 1 0.0303030303030303 14 0.424242424242424
