"MUN_INFE" "year_notif" "municipio" "uf" "count_vivax" "total" "perc_vivax"
110011 2010 "Jaru" "Rondônia" 33 39 0.846153846153846
110011 2011 "Jaru" "Rondônia" 32 34 0.941176470588235
110011 2012 "Jaru" "Rondônia" 24 24 1
110011 2013 "Jaru" "Rondônia" 21 21 1
110011 2014 "Jaru" "Rondônia" 6 6 1
110011 2015 "Jaru" "Rondônia" 3 4 0.75
110011 2016 "Jaru" "Rondônia" 5 6 0.833333333333333
110011 2017 "Jaru" "Rondônia" 4 6 0.666666666666667
110011 2018 "Jaru" "Rondônia" 2 2 1
110011 2019 "Jaru" "Rondônia" 1 1 1
110012 2007 "Ji-Paraná" "Rondônia" 79 95 0.831578947368421
110012 2008 "Ji-Paraná" "Rondônia" 57 63 0.904761904761905
110012 2009 "Ji-Paraná" "Rondônia" 48 50 0.96
110012 2010 "Ji-Paraná" "Rondônia" 101 110 0.918181818181818
110012 2011 "Ji-Paraná" "Rondônia" 71 76 0.934210526315789
110012 2012 "Ji-Paraná" "Rondônia" 35 40 0.875
110012 2013 "Ji-Paraná" "Rondônia" 22 23 0.956521739130435
110012 2014 "Ji-Paraná" "Rondônia" 6 6 1
110012 2015 "Ji-Paraná" "Rondônia" 4 4 1
110012 2016 "Ji-Paraná" "Rondônia" 6 6 1
110012 2017 "Ji-Paraná" "Rondônia" 3 3 1
110012 2018 "Ji-Paraná" "Rondônia" 10 10 1
110012 2019 "Ji-Paraná" "Rondônia" 8 10 0.8
110013 2007 "Machadinho DOeste" "Rondônia" 5758 6784 0.84876179245283
110013 2008 "Machadinho DOeste" "Rondônia" 3456 3743 0.92332353726957
110013 2009 "Machadinho DOeste" "Rondônia" 3337 3824 0.872646443514644
110013 2010 "Machadinho DOeste" "Rondônia" 3467 3741 0.92675755145683
110013 2011 "Machadinho DOeste" "Rondônia" 2673 2805 0.952941176470588
110013 2012 "Machadinho DOeste" "Rondônia" 1705 1747 0.975958786491128
110013 2013 "Machadinho DOeste" "Rondônia" 887 912 0.972587719298246
110013 2014 "Machadinho DOeste" "Rondônia" 420 425 0.988235294117647
110013 2015 "Machadinho DOeste" "Rondônia" 841 891 0.943883277216611
110013 2016 "Machadinho DOeste" "Rondônia" 1705 1713 0.995329830706363
110013 2017 "Machadinho DOeste" "Rondônia" 1005 1016 0.989173228346457
110013 2018 "Machadinho DOeste" "Rondônia" 391 422 0.92654028436019
110013 2019 "Machadinho DOeste" "Rondônia" 416 482 0.863070539419087
110014 2007 "Nova Brasilândia DOeste" "Rondônia" 127 168 0.755952380952381
110014 2008 "Nova Brasilândia DOeste" "Rondônia" 23 28 0.821428571428571
110014 2009 "Nova Brasilândia DOeste" "Rondônia" 33 67 0.492537313432836
110014 2010 "Nova Brasilândia DOeste" "Rondônia" 43 76 0.565789473684211
110014 2011 "Nova Brasilândia DOeste" "Rondônia" 18 19 0.947368421052632
110014 2012 "Nova Brasilândia DOeste" "Rondônia" 1 2 0.5
110014 2013 "Nova Brasilândia DOeste" "Rondônia" 4 5 0.8
110014 2014 "Nova Brasilândia DOeste" "Rondônia" 4 5 0.8
110014 2016 "Nova Brasilândia DOeste" "Rondônia" 3 3 1
110014 2017 "Nova Brasilândia DOeste" "Rondônia" 3 3 1
110015 2007 "Ouro Preto do Oeste" "Rondônia" 27 31 0.870967741935484
110015 2008 "Ouro Preto do Oeste" "Rondônia" 28 31 0.903225806451613
110015 2009 "Ouro Preto do Oeste" "Rondônia" 9 10 0.9
110015 2010 "Ouro Preto do Oeste" "Rondônia" 10 11 0.909090909090909
110015 2011 "Ouro Preto do Oeste" "Rondônia" 13 13 1
110015 2012 "Ouro Preto do Oeste" "Rondônia" 21 21 1
110015 2013 "Ouro Preto do Oeste" "Rondônia" 8 8 1
110015 2014 "Ouro Preto do Oeste" "Rondônia" 8 8 1
110015 2015 "Ouro Preto do Oeste" "Rondônia" 4 4 1
110015 2016 "Ouro Preto do Oeste" "Rondônia" 21 22 0.954545454545455
110015 2017 "Ouro Preto do Oeste" "Rondônia" 1 2 0.5
