mun;ano;mes;group;n;p
110002;2013;dez;Importado;33;0,891891891891891886
110002;2014;jan;Autóctone;20;0,408163265306122458
110002;2014;jan;Importado;28;0,571428571428571397
110002;2014;jan;NA;1;0,020408163265306121
110002;2014;fev;Autóctone;9;0,264705882352941180
110002;2014;fev;Importado;25;0,735294117647058876
110002;2014;mar;Autóctone;8;0,380952380952380931
110002;2014;mar;Importado;12;0,571428571428571397
110002;2014;mar;NA;1;0,047619047619047616
110002;2014;abr;Autóctone;4;0,285714285714285698
110002;2014;abr;Importado;10;0,714285714285714302
110002;2014;mai;Autóctone;4;0,222222222222222210
110002;2014;mai;Importado;14;0,777777777777777790
110002;2014;jun;Autóctone;3;0,176470588235294129
110002;2014;jun;Importado;14;0,823529411764705843
110002;2014;jul;Autóctone;10;0,285714285714285698
110002;2014;jul;Importado;25;0,714285714285714302
110002;2014;ago;Autóctone;8;0,250000000000000000
110002;2014;ago;Importado;24;0,750000000000000000
110002;2014;set;Autóctone;6;0,181818181818181823
110002;2014;set;Importado;27;0,818181818181818232
110002;2014;out;Autóctone;4;0,210526315789473673
110002;2014;out;Importado;15;0,789473684210526327
110002;2014;nov;Autóctone;2;0,111111111111111105
110002;2014;nov;Importado;16;0,888888888888888840
110002;2014;dez;Autóctone;2;0,117647058823529410
110002;2014;dez;Importado;15;0,882352941176470562
110002;2015;jan;Autóctone;1;0,100000000000000006
110002;2015;jan;Importado;9;0,900000000000000022
110002;2015;fev;Autóctone;1;0,142857142857142849
110002;2015;fev;Importado;6;0,857142857142857095
110002;2015;mar;Autóctone;1;0,166666666666666657
110002;2015;mar;Importado;5;0,833333333333333370
110002;2015;abr;Autóctone;2;0,166666666666666657
110002;2015;abr;Importado;10;0,833333333333333370
110002;2015;mai;Autóctone;4;0,266666666666666663
110002;2015;mai;Importado;11;0,733333333333333282
110002;2015;jun;Importado;11;1,000000000000000000
110002;2015;jul;Autóctone;2;0,133333333333333331
110002;2015;jul;Importado;13;0,866666666666666696
110002;2015;ago;Autóctone;5;0,192307692307692318
110002;2015;ago;Importado;21;0,807692307692307709
110002;2015;set;Autóctone;3;0,176470588235294129
110002;2015;set;Importado;14;0,823529411764705843
110002;2015;out;Autóctone;10;0,500000000000000000
110002;2015;out;Importado;10;0,500000000000000000
110002;2015;nov;Autóctone;9;0,500000000000000000
110002;2015;nov;Importado;9;0,500000000000000000
110002;2015;dez;Autóctone;4;0,173913043478260865
110002;2015;dez;Importado;19;0,826086956521739135
110002;2016;jan;Autóctone;16;0,592592592592592560
110002;2016;jan;Importado;11;0,407407407407407385
110002;2016;fev;Autóctone;14;0,482758620689655193
110002;2016;fev;Importado;15;0,517241379310344862
110002;2016;mar;Autóctone;9;0,391304347826086973
110002;2016;mar;Importado;14;0,608695652173913082
110002;2016;abr;Autóctone;10;0,370370370370370350
110002;2016;abr;Importado;17;0,629629629629629650
110002;2016;mai;Autóctone;12;0,461538461538461564
110002;2016;mai;Importado;14;0,538461538461538436
110002;2016;jun;Autóctone;7;0,155555555555555558
110002;2016;jun;Importado;38;0,844444444444444442
110002;2016;jul;Autóctone;6;0,162162162162162171
110002;2016;jul;Importado;31;0,837837837837837829
110002;2016;ago;Autóctone;7;0,152173913043478271
110002;2016;ago;Importado;39;0,847826086956521729
110002;2016;set;Autóctone;10;0,149253731343283569
110002;2016;set;Importado;57;0,850746268656716431
110002;2016;out;Autóctone;5;0,086206896551724144
110002;2016;out;Importado;53;0,913793103448275912
110002;2016;nov;Autóctone;11;0,192982456140350866
110002;2016;nov;Importado;46;0,807017543859649078
110002;2016;dez;Autóctone;10;0,277777777777777790
110002;2016;dez;Importado;26;0,722222222222222210
110002;2017;jan;Autóctone;8;0,307692307692307709
110002;2017;jan;Importado;18;0,692307692307692291
110002;2017;fev;Autóctone;3;0,230769230769230782
110002;2017;fev;Importado;10;0,769230769230769273
110002;2017;mar;Autóctone;4;0,148148148148148140
110002;2017;mar;Importado;23;0,851851851851851860
110002;2017;abr;Autóctone;8;0,250000000000000000
110002;2017;abr;Importado;24;0,750000000000000000
110002;2017;mai;Autóctone;7;0,137254901960784326
110002;2017;mai;Importado;44;0,862745098039215730
110002;2017;jun;Autóctone;11;0,239130434782608703
110002;2017;jun;Importado;35;0,760869565217391353
110002;2017;jul;Autóctone;7;0,132075471698113206
110002;2017;jul;Importado;46;0,867924528301886822
110002;2017;ago;Autóctone;8;0,126984126984126977
110002;2017;ago;Importado;55;0,873015873015873023
110002;2017;set;Autóctone;8;0,094117647058823528
110002;2017;set;Importado;77;0,905882352941176472
110002;2017;out;Autóctone;31;0,309999999999999998
110002;2017;out;Importado;69;0,689999999999999947
110002;2017;nov;Autóctone;11;0,177419354838709686
110002;2017;nov;Importado;51;0,822580645161290369
110002;2017;dez;Autóctone;11;0,171875000000000000
110002;2017;dez;Importado;53;0,828125000000000000
110002;2018;jan;Autóctone;22;0,423076923076923073
110002;2018;jan;Importado;30;0,576923076923076872
110002;2018;fev;Autóctone;50;0,625000000000000000
110002;2018;fev;Importado;30;0,375000000000000000
110002;2018;mar;Autóctone;61;0,824324324324324342
110002;2018;mar;Importado;13;0,175675675675675685
110002;2018;abr;Autóctone;140;0,869565217391304324
110002;2018;abr;Importado;21;0,130434782608695649
110002;2018;mai;Autóctone;159;0,859459459459459452
110002;2018;mai;Importado;26;0,140540540540540548
110002;2018;jun;Autóctone;102;0,684563758389261756
110002;2018;jun;Importado;47;0,315436241610738244
110002;2018;jul;Autóctone;64;0,547008547008547064
110002;2018;jul;Importado;53;0,452991452991452992
110002;2018;ago;Autóctone;98;0,560000000000000053
110002;2018;ago;Importado;76;0,434285714285714275
110002;2018;ago;NA;1;0,005714285714285714
110002;2018;set;Autóctone;56;0,370860927152317887
110002;2018;set;Importado;95;0,629139072847682113
110002;2018;out;Autóctone;52;0,363636363636363646
110002;2018;out;Importado;91;0,636363636363636354
110002;2018;nov;Autóctone;54;0,406015037593984940
110002;2018;nov;Importado;79;0,593984962406015060
110002;2018;dez;Autóctone;30;0,344827586206896575
110002;2018;dez;Importado;57;0,655172413793103425
110002;2019;jan;Autóctone;29;0,508771929824561431
110002;2019;jan;Importado;28;0,491228070175438569
110002;2019;fev;Autóctone;33;0,492537313432835799
110002;2019;fev;Importado;34;0,507462686567164201
110002;2019;mar;Autóctone;33;0,492537313432835799
110002;2019;mar;Importado;34;0,507462686567164201
110002;2019;abr;Autóctone;50;0,602409638554216920
110002;2019;abr;Importado;33;0,397590361445783136
110002;2019;mai;Autóctone;30;0,476190476190476164
110002;2019;mai;Importado;33;0,523809523809523836
110002;2019;jun;Autóctone;20;0,294117647058823539
110002;2019;jun;Importado;48;0,705882352941176516
110002;2019;jul;Autóctone;28;0,424242424242424254
110002;2019;jul;Importado;38;0,575757575757575801
110002;2019;ago;Autóctone;27;0,355263157894736836
110002;2019;ago;Importado;49;0,644736842105263164
110002;2019;set;Autóctone;51;0,515151515151515138
110002;2019;set;Importado;48;0,484848484848484862
110002;2019;out;Autóctone;33;0,434210526315789491
110002;2019;out;Importado;43;0,565789473684210509
110002;2019;nov;Autóctone;25;0,396825396825396803
110002;2019;nov;Importado;38;0,603174603174603141
110002;2019;dez;Autóctone;34;0,586206896551724088
110002;2019;dez;Importado;24;0,413793103448275856
110002;2020;jan;Autóctone;17;0,377777777777777768
110002;2020;jan;Importado;28;0,622222222222222232
110002;2020;fev;Autóctone;30;0,769230769230769273
110002;2020;fev;Importado;9;0,230769230769230782
110002;2020;mar;Autóctone;26;0,509803921568627416
110002;2020;mar;Importado;25;0,490196078431372528
110002;2020;abr;Autóctone;20;0,625000000000000000
110002;2020;abr;Importado;12;0,375000000000000000
110002;2020;mai;Autóctone;31;0,756097560975609762
110002;2020;mai;Importado;10;0,243902439024390238
110002;2020;jun;Autóctone;19;0,593750000000000000
110002;2020;jun;Importado;13;0,406250000000000000
110003;2007;jan;Autóctone;3;0,375000000000000000
110003;2007;jan;Importado;5;0,625000000000000000
110003;2007;fev;Importado;1;1,000000000000000000
110003;2007;mar;Importado;1;1,000000000000000000
110003;2007;abr;Importado;1;1,000000000000000000
110003;2007;mai;Importado;1;1,000000000000000000
110003;2007;jul;Importado;3;1,000000000000000000
110003;2007;ago;Autóctone;1;0,333333333333333315
110003;2007;ago;Importado;2;0,666666666666666630
110003;2007;out;Autóctone;1;1,000000000000000000
110003;2007;nov;Importado;2;1,000000000000000000
110003;2008;jan;Importado;1;1,000000000000000000
110003;2008;mar;Importado;1;1,000000000000000000
110003;2008;ago;Importado;2;1,000000000000000000
110003;2008;out;Importado;1;1,000000000000000000
110003;2008;dez;Importado;1;0,500000000000000000
110003;2008;dez;NA;1;0,500000000000000000
110003;2009;jan;Importado;2;1,000000000000000000
110003;2009;fev;Importado;2;1,000000000000000000
110003;2009;abr;Importado;1;1,000000000000000000
110003;2009;set;Importado;1;1,000000000000000000
110003;2009;out;Importado;1;1,000000000000000000
110003;2009;nov;Importado;1;1,000000000000000000
110003;2009;dez;Importado;1;1,000000000000000000
110003;2010;abr;Importado;1;1,000000000000000000
110003;2010;nov;Importado;1;1,000000000000000000
110003;2010;dez;Autóctone;2;1,000000000000000000
